date,steps,caloriesburned,caloriesconsumed,minutesofsleep
2015-05-09,18925,3631,2248,384
2015-05-10,14228,3204,1719,454
2015-05-11,6756,2673,962,387
2015-05-12,5020,2495,736,311
2015-05-13,7790,2760,1094,407
2015-05-14,5614,2687,983,405
2015-05-15,8169,2793,1092,381
2015-05-16,19971,4061,2700,269
2015-05-17,8520,3349,1766,452
2015-05-18,11998,2961,1371,269
2015-05-19,12425,2911,1351,167
2015-05-20,6008,2569,939,368
2015-05-21,16291,3228,1766,386
2015-05-22,6111,2529,882,351
2015-05-23,17928,4197,2880,314
2015-05-24,13893,3899,2502,432
2015-05-25,5109,2519,847,224
2015-05-26,4430,2357,644,0
2015-05-27,7498,3209,1676,389
2015-05-28,8490,2811,1148,381
2015-05-29,5650,2558,890,417
2015-05-30,21479,4170,2794,464
2015-05-31,18995,3533,2092,328
2015-06-01,16836,3354,1862,426
2015-06-02,15944,3369,1827,430
2015-06-03,14273,3168,1592,376
2015-06-04,16060,3470,1939,312
2015-06-05,13594,3134,1583,388
2015-06-06,15480,3436,1927,409
2015-06-07,19440,3634,2155,426
2015-06-08,13926,3267,1785,430
2015-06-09,11338,3072,1494,376
2015-06-10,7140,2750,1081,312
2015-06-11,15449,3187,1676,388
2015-06-12,11920,3207,1777,409
2015-06-13,26444,4083,2818,54
2015-06-14,12335,2789,1209,347
2015-06-15,14137,3234,1756,290
2015-06-16,11568,2952,1352,379
2015-06-17,16813,3352,1809,394
2015-06-18,15217,3425,1974,421
2015-06-19,13158,3090,1511,169
2015-06-20,19311,3699,2348,0
2015-06-21,16186,3385,1921,412
2015-06-22,12713,3088,1533,379
2015-06-23,9132,2823,1236,373
2015-06-24,20239,3678,2292,360
2015-06-25,11199,3003,1419,358
2015-06-26,20269,3534,2078,415
2015-06-27,11655,3022,1491,464
2015-06-28,12314,3237,1750,388
2015-06-29,12586,3142,1579,449
2015-06-30,12445,2945,1393,357
2015-07-01,14193,3352,1782,379
2015-07-02,11560,3063,1419,332
2015-07-03,15695,3465,1947,413
2015-07-04,9747,2894,1337,438
2015-07-05,15731,3515,2111,277
2015-07-06,8391,2699,1082,291
2015-07-07,8326,2740,1106,370
2015-07-08,14241,3244,1662,455
2015-07-09,7298,2994,1322,311
2015-07-10,10644,3134,1606,550
2015-07-11,12371,3191,1589,368
2015-07-12,7580,2810,1201,250
2015-07-13,12168,3259,1725,76
2015-07-14,15135,3383,1813,360
2015-07-15,14996,3569,2155,248
2015-07-16,8704,3017,1392,410
2015-07-17,12739,3228,1733,465
2015-07-18,13247,3352,1910,406
2015-07-19,11660,3237,1703,347
2015-07-20,13702,3278,1775,362
2015-07-21,11240,3040,1438,418
2015-07-22,13262,3071,1495,411
2015-07-23,9090,2984,1349,304
2015-07-24,15779,3468,2073,343
2015-07-25,6174,2706,1046,368
2015-07-26,11614,3090,1573,380
2015-07-27,13460,3091,1527,322
2015-07-28,10000,2980,1370,0
2015-07-29,10680,3138,1628,472
2015-07-30,14105,3246,1727,292
2015-07-31,9194,2654,914,304
2015-08-01,17497,3453,1673,419
2015-08-02,5765,2651,1039,172
2015-08-03,15362,3420,1883,303
2015-08-04,9870,2863,1225,368
2015-08-05,14502,3326,1838,389
2015-08-06,14652,3472,2079,415
2015-08-07,7628,2849,1297,0
2015-08-08,13877,3168,1638,529
2015-08-09,11433,3109,1564,294
2015-08-10,13655,3139,1617,303
2015-08-11,13535,2857,347,553
2015-08-12,1883,2055,287,402
2015-08-13,11354,3218,1718,192
2015-08-14,11532,3010,1542,487
2015-08-15,6129,2813,1159,544
2015-08-16,6238,2706,1084,77
2015-08-17,15572,3683,2362,80
2015-08-18,10886,3106,1578,0
2015-08-19,12213,3217,1834,263
2015-08-20,12929,3421,2070,219
2015-08-21,16365,3382,1950,551
2015-08-22,17252,3498,2164,429
2015-08-23,14537,3288,1937,263
2015-08-24,13404,3215,1648,445
2015-08-25,10940,3063,1530,212
2015-08-26,10032,2928,1328,324
2015-08-27,14008,3229,1828,465
2015-08-28,12149,3356,1861,440
2015-08-29,19977,3890,2540,518
2015-08-30,11924,2961,0,375
2015-08-31,10757,3136,1532,326
2015-09-01,12229,3681,2200,397
2015-09-02,10330,3009,1369,497
2015-09-03,11689,3094,1530,0
2015-09-04,15627,3518,2063,234
2015-09-05,10681,2885,1356,52
2015-09-06,7907,2745,1217,0
2015-09-07,9487,2829,1197,125
2015-09-08,8253,2742,763,316
2015-09-09,22238,4351,3181,0
2015-09-10,10650,2967,1421,452
2015-09-11,12038,3054,1530,479
2015-09-12,11480,2937,1481,382
2015-09-13,9199,2977,1564,0
2015-09-14,9564,2947,1355,153
2015-09-15,9019,2821,1247,393
2015-09-16,10239,3041,1464,226
2015-09-17,7739,2796,1140,249
2015-09-18,12620,2978,1419,525
2015-09-19,14226,3160,1736,414
2015-09-20,3858,2325,700,0
2015-09-21,17603,3458,1912,426
2015-09-22,10699,2988,1471,423
2015-09-23,7261,2561,869,407
2015-09-24,10608,3159,1600,393
2015-09-25,12271,3193,1799,396
2015-09-26,9998,2934,1431,0
2015-09-27,5757,2589,1033,0
2015-09-28,8995,2874,1290,395
2015-09-29,7553,2757,1146,420
2015-09-30,6494,2714,1092,0
2015-10-01,7951,2712,1126,434
2015-10-02,7424,2809,1206,359
2015-10-03,6813,2322,667,265
2015-10-04,3991,2319,645,411
2015-10-05,9725,2859,1378,309
2015-10-06,8936,2978,1383,477
2015-10-07,6565,2678,1009,403
2015-10-08,7865,2767,1178,431
2015-10-09,8718,2549,258,0
2015-10-10,12364,2918,1423,108
2015-10-11,5216,2509,878,78
2015-10-12,6580,2687,1059,397
2015-10-13,7015,2698,1036,387
2015-10-14,8103,2621,1017,0
2015-10-15,6962,2698,1075,407
2015-10-16,16478,3295,1833,92
2015-10-17,11603,2871,1384,0
2015-10-18,11429,2899,1390,0
2015-10-19,6293,2581,956,0
2015-10-20,7269,2672,791,0
2015-10-21,4471,2406,686,0
2015-10-22,17913,3410,1851,326
2015-10-23,5431,2511,808,444
2015-10-24,11672,2907,1401,142
2015-10-25,14777,3435,1943,347
2015-10-26,9171,2931,1414,0
2015-10-27,8807,2867,1275,0
2015-10-28,5623,2470,817,136
2015-10-29,12910,3109,1519,209
2015-10-30,8805,2942,1264,365
2015-10-31,7107,2736,1162,151
2015-11-01,3862,2395,661,226
2015-11-02,7368,2590,777,405
2015-11-03,6269,2403,37,276
2015-11-04,8520,2917,1294,0
2015-11-05,8116,2851,1258,155
2015-11-06,8268,2820,1218,383
2015-11-07,14489,3690,2285,319
2015-11-08,9212,3067,1510,0
2015-11-09,9500,2828,1225,0
2015-11-10,11151,3336,1799,345
2015-11-11,12351,2867,1353,383
2015-11-12,10670,2847,1228,391
2015-11-13,5574,2460,778,231
2015-11-14,11587,3445,1953,526
2015-11-15,9499,2853,1219,369
2015-11-16,13788,3590,1990,291
2015-11-17,18361,3792,2462,143
2015-11-18,14055,3222,1771,503
